unix_timestamp,bid,ask,mid
1759175614.6522408,1.8483,1.8487,1.848500
1759175621.845546,1.848,1.8481,1.848050
1759175622.107185,1.848,1.8481,1.848050
1759175622.3665051,1.849,1.8491,1.849050
1759175622.6101127,1.849,1.8491,1.849050
1759175622.8595977,1.849,1.8491,1.849050
1759175623.1250815,1.849,1.8491,1.849050
1759175623.3757248,1.849,1.8491,1.849050
1759175623.6433032,1.849,1.8491,1.849050
1759175623.9160178,1.849,1.8491,1.849050
1759175624.191664,1.849,1.8491,1.849050
1759175624.4764795,1.849,1.8491,1.849050
1759175624.7319815,1.849,1.8491,1.849050
1759175624.9971025,1.849,1.8491,1.849050
1759175625.2737532,1.8488,1.8489,1.848850
1759175625.5543861,1.8487,1.8489,1.848800
1759175625.834104,1.8487,1.8488,1.848750
1759175626.0591843,1.8487,1.8488,1.848750
1759175626.315133,1.8487,1.8488,1.848750
1759175626.5740142,1.8487,1.8488,1.848750
1759175626.8540137,1.8487,1.8488,1.848750
1759175627.124469,1.8486,1.8488,1.848700
1759175627.4284759,1.8486,1.8487,1.848650
1759175627.6804307,1.8486,1.8487,1.848650
1759175627.9923131,1.8486,1.8487,1.848650
1759175628.2680218,1.8486,1.8487,1.848650
1759175628.5203214,1.8486,1.8487,1.848650
1759175628.7804341,1.8486,1.8487,1.848650
1759175629.0334423,1.8486,1.8487,1.848650
1759175629.2967353,1.8486,1.8487,1.848650
1759175629.5912852,1.8486,1.8487,1.848650
1759175629.8542016,1.8485,1.8486,1.848550
1759175630.1146774,1.8485,1.8486,1.848550
1759175630.4084902,1.8485,1.8486,1.848550
1759175630.666084,1.8485,1.8486,1.848550
1759175630.9279163,1.8485,1.8486,1.848550
1759175631.2314026,1.8485,1.8486,1.848550
1759175631.4937928,1.8485,1.8486,1.848550
1759175631.7941244,1.8484,1.8486,1.848500
1759175632.1051407,1.8484,1.8486,1.848500
1759175632.3545537,1.8485,1.8486,1.848550
1759175632.6549125,1.8485,1.8486,1.848550
1759175632.9202101,1.8485,1.8486,1.848550
1759175633.210722,1.8485,1.8486,1.848550
1759175633.5403068,1.8482,1.8486,1.848400
1759175633.7871332,1.8481,1.8485,1.848300
1759175634.0450447,1.8481,1.8482,1.848150
1759175634.4052353,1.8481,1.8482,1.848150
1759175634.7267396,1.8481,1.8482,1.848150
1759175635.1825454,1.8481,1.8482,1.848150
1759175635.5029066,1.8481,1.8482,1.848150
1759175635.7670522,1.8481,1.8482,1.848150
1759175636.0401373,1.8481,1.8482,1.848150
1759175636.500349,1.8481,1.8482,1.848150
1759175637.1495545,1.8481,1.8482,1.848150
1759175637.4150937,1.8481,1.8482,1.848150
1759175637.745215,1.8481,1.8482,1.848150
1759175638.0012648,1.8481,1.8482,1.848150
1759175638.3010497,1.8481,1.8482,1.848150
1759175638.5848465,1.8485,1.8487,1.848600
1759175638.8397398,1.8485,1.8488,1.848650
1759175639.098304,1.8485,1.8488,1.848650
1759175639.3651316,1.8485,1.8488,1.848650
1759175639.8528686,1.8485,1.8487,1.848600
1759175640.1227055,1.8485,1.8487,1.848600
1759175640.5685403,1.8485,1.8487,1.848600
1759175640.8190694,1.8485,1.8487,1.848600
1759175641.0797002,1.8485,1.8487,1.848600
1759175641.333862,1.8485,1.8487,1.848600
1759175641.6700919,1.8488,1.8496,1.849200
1759175641.9212427,1.8497,1.85,1.849850
1759175642.173852,1.8506,1.8507,1.850650
1759175642.4237478,1.8506,1.8507,1.850650
1759175642.6795182,1.851,1.8511,1.851050
1759175642.9286811,1.851,1.8511,1.851050
1759175643.2076604,1.851,1.8511,1.851050
1759175643.4370372,1.8509,1.851,1.850950
1759175643.6851246,1.8512,1.8513,1.851250
1759175643.94099,1.8513,1.8514,1.851350
1759175644.2364423,1.8513,1.8514,1.851350
1759175644.5031576,1.8513,1.8514,1.851350
1759175644.982914,1.8513,1.8514,1.851350
1759175645.421977,1.8513,1.8514,1.851350
1759175645.7938821,1.8513,1.8514,1.851350
1759175646.0654252,1.8513,1.8514,1.851350
1759175646.3156655,1.8513,1.8514,1.851350
1759175646.5801144,1.8513,1.8514,1.851350
1759175646.8298116,1.8516,1.8517,1.851650
1759175647.0826023,1.8516,1.8517,1.851650
1759175647.3335521,1.8516,1.8517,1.851650
1759175647.6259549,1.8516,1.8517,1.851650
1759175647.9060037,1.8516,1.8517,1.851650
1759175648.3358352,1.8516,1.8517,1.851650
1759175648.5903614,1.8514,1.8515,1.851450
1759175648.8492613,1.8514,1.8515,1.851450
1759175649.1033704,1.8514,1.8515,1.851450
1759175649.398151,1.8519,1.852,1.851950
1759175649.6493323,1.8519,1.852,1.851950
1759175649.927867,1.8519,1.852,1.851950
1759175650.221582,1.8519,1.852,1.851950
1759175650.49255,1.8519,1.852,1.851950
1759175650.757624,1.8519,1.852,1.851950
1759175651.0100844,1.8524,1.8525,1.852450
1759175651.260122,1.8524,1.8525,1.852450
1759175651.5125,1.8527,1.8528,1.852750
1759175651.7685633,1.8529,1.853,1.852950
1759175652.062362,1.8529,1.853,1.852950
1759175652.316726,1.8529,1.853,1.852950
1759175652.6247954,1.853,1.8531,1.853050
1759175652.8281436,1.853,1.8531,1.853050
1759175653.0808659,1.8531,1.8532,1.853150
1759175653.337905,1.8531,1.8532,1.853150
1759175653.5941176,1.8531,1.8532,1.853150
1759175653.8570304,1.8531,1.8532,1.853150
1759175654.1299224,1.8536,1.8538,1.853700
1759175654.3786626,1.8536,1.8537,1.853650
1759175654.6271946,1.8536,1.8537,1.853650
1759175654.8965907,1.8536,1.8537,1.853650
1759175655.2445588,1.8535,1.8537,1.853600
1759175655.460834,1.8534,1.8536,1.853500
1759175655.7384603,1.8535,1.8536,1.853550
1759175655.9891794,1.8532,1.8535,1.853350
1759175656.2671325,1.8532,1.8533,1.853250
1759175656.5187936,1.8532,1.8533,1.853250
1759175656.7725658,1.8531,1.8532,1.853150
1759175657.0265436,1.8531,1.8532,1.853150
1759175657.2888582,1.8531,1.8532,1.853150
1759175657.5747466,1.8528,1.8532,1.853000
1759175657.8362823,1.8528,1.8529,1.852850
1759175658.0870047,1.8528,1.8529,1.852850
1759175658.4190116,1.8528,1.8529,1.852850
1759175658.735019,1.8528,1.8529,1.852850
1759175659.0684805,1.8528,1.8529,1.852850
1759175659.3435795,1.8526,1.8528,1.852700
1759175659.6198459,1.8526,1.8527,1.852650
1759175659.9411187,1.8526,1.8527,1.852650
1759175660.1194062,1.8526,1.8527,1.852650
1759175660.376993,1.8522,1.8526,1.852400
1759175660.6259575,1.8522,1.8523,1.852250
1759175660.8813796,1.8522,1.8523,1.852250
1759175661.1314635,1.8526,1.8527,1.852650
1759175661.390837,1.8526,1.853,1.852800
1759175661.6327171,1.8529,1.853,1.852950
1759175661.8977587,1.8529,1.853,1.852950
1759175662.1499968,1.8529,1.853,1.852950
